doc_index,content,tokens,url
procedures-300-appendix-b_134_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 C) Option C: Children Left in the Care of an Inadequate Caregiver i) This option may be used when a child has been placed at a real, significant and imminent risk of likely harm by being left in the care of an individual whose age, impairment, lack of qualifications or insufficient capabilities posed an obvious risk of likely harm to the child due to a parent's or caretaker's blatant disregard of his or her duty of care. ii) The Child Protection Specialist should consider all of the factors to be considered, but pay special attention to the following factors for Option C: a) The length of time the child is left with an individual whose age, impairment, lack of qualifications or insufficient capabilities poses an obvious risk of likely harm to the child; b) The age of the child left with an individual whose age, impairment, lack of qualifications or insufficient capabilities poses an obvious risk of likely harm to the child or children, including an assessment of the child’s developmental stage, capability and level of maturity; c) The number of children and the ages of the children left with an individual whose age, impairment, lack of qualifications or insufficient capabilities poses an obvious risk of likely harm to the children, including an assessment of the child’s or children’s developmental stage, capability and level of maturity; d) How the age, specific impairment, lack of qualification or insufficient capability of the caregiver affects their ability to supervise the child or children; and the information and or basis upon which the Child Protection Specialist determines information regarding the age, impairment, lack of qualification or insufficient capability of the caregiver; e) How the specific age, impairment, lack of qualification or insufficient capability of the caregiver poses an obvious risk of likely harm to the child; f) The caregiver’s ability to contact the child’s parent; g) The caregiver’s ability to contact or otherwise access the assistance of other adults; Illinois Department of Children and Family Services Procedures 300.Appendix B",415,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_135_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 h) The caregiver’s access to, or ability to access, provisions necessary for the child’s physical well-being, such as food, water or necessary medications or medical treatments; i) The child’s ability to contact his or her parent; j) The child’s ability to contact or otherwise access the assistance of other adults; k) The child’s ability to contact the parent or otherwise access the assistance of other adults or older children, including knowledge of telephone numbers, including cell phones and emergency telephone numbers; l) Whether the parent knew or should have known that the caregiver, due to the caregiver’s age, impairment, lack of qualifications or insufficient capabilities poses an obvious risk of likely harm to the child; m) The reason or explanation of the parent for leaving the child with a caregiver, whose age, impairment, lack of qualifications or insufficient capabilities poses an obvious risk of likely harm to the child; and n) Whether the parent took any precautionary measures to prevent or mitigate any risk of real, significant and imminent risk of likely harm and the nature and extent of the precautionary measures. iii) The Child Protection Specialist is not to assume that a child’s medical or psychological/behavioral conditions or diagnosis renders them unable to be alone. In order for the condition or diagnosis to be properly considered as a factor there must be information from an appropriate person with prior knowledge of the child (who may include, but is not limited to, a psychologist, doctor, teacher, or caregiver who is aware of the impact of the condition on the child’s abilities) establishing that the child’s condition or diagnosis impairs his or her developmental stage, capabilities, and/or level of maturity to the extent that leaving the child without appropriate adult supervision poses a likelihood of real, significant and imminent harm. iv) An example of circumstances that in and of themselves do not independently constitute “blatant disregard” or a “real, significant, and imminent risk of likely harm”: Leaving a younger child in the care of a child age 11 or older for a few hours. Illinois Department of Children and Family Services Procedures 300.Appendix B",447,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_136_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 D) Option D: General Category i) This option may be used when a child has been placed at a real, significant and imminent risk of likely harm when the child is not receiving proper care or support, including supervision due to a parent's or caregiver's blatant disregard of his or her duty of care. ii) The Child Protection Specialist should consider all of the factors to be considered, but pay special attention to the following factors for Option D: a) The age of the child who was not receiving proper care or support, including supervision, including an assessment of the child’s developmental stage, capability and level of maturity; b) The length of time the child was not receiving proper care or support, including supervision; c) The number of children and the ages of the children who were not receiving proper care or support, including supervision; d) The child’s ability to contact his or her parent; e) The child’s ability to contact or otherwise access the assistance of other adults; f) The child’s ability to contact the parent or otherwise access the assistance of other adults or older children, including knowledge of telephone numbers, including cell phones and emergency telephone numbers; g) Whether the parent knew or should have known that the child or children were not receiving proper care or support, including supervision; h) The reason or explanation of the parent for leaving the child without proper care or support, including supervision; i) The frequency in which the child or children are left without proper care or support, including supervision; or j) Whether the parent took any precautionary measures to prevent or mitigate any risk of real, significant and imminent risk of likely harm and the nature and extent of the precautionary measures. Illinois Department of Children and Family Services Procedures 300.Appendix B",377,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_137_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 iii) An example of circumstances that in and of themselves do not independently constitute “blatant disregard” or a “real, significant, and imminent risk of likely harm”: An elementary school student deliberately attempts to evade the teacher’s supervision while outside at recess, where the teacher was not on notice of special measures she needed to take to supervise the child. 4) Required Documentation A) Option A: Children Left Home Alone, Outside or in the Community This option may be used when a child has been placed at a real, significant and imminent risk of likely harm by being left alone at home, outside or in the community due to a parent's or caregiver's blatant disregard of his or her duty of care. The Child Protection Specialist shall document, in addition to the other required information: i) Length of time the child is left alone; ii) Age of the child or children left alone; iii) The specific distance between the location of where the child is left alone, whether at home, outside or in a specific location in the community outside and the child’s parent and/or caregiver; iv) The specific weather conditions at the time the child is left alone outside or in the community, including the temperature and other important weather conditions; and v) The specific means by which the child can contact the parent or caregiver. B) Option B: Children Left in Vehicles This option may be used when a child has been placed at a real, significant and imminent risk of likely harm by being left alone inside a vehicle due to a parent's or caregiver's blatant disregard of his or her duty of care. The Child Protection Specialist shall document, in addition to the other required information: i) Length of time the child is left alone in a vehicle; ii) Age of the child or children left alone in a vehicle; Illinois Department of Children and Family Services Procedures 300.Appendix B",400,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_138_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 iii) The specific distance between the location of where the child is left alone in a vehicle, including whether the parent or caregiver can see or hear the child; iv) The specific weather conditions at the time the child is left alone in a vehicle, including the temperature; and v) The specific means by which the child can contact the parent or caregiver. C) Option C: Children Left in the Care of an Inadequate Caregiver This option may be used when a child has been placed at a real, significant and imminent risk of likely harm by being left in the care of an individual whose age, impairment, lack of qualifications or insufficient capabilities posed an obvious risk of likely harm to the child due to a parent's or caretaker's blatant disregard of his or her duty of care. The Child Protection Specialist shall document, in addition to the other required information: i) The length of time the child is left with an individual whose age, impairment, lack of qualifications or insufficient capabilities poses an obvious risk of likely harm to the child; and ii) The age of the child left with an individual whose age, impairment, lack of qualifications or insufficient capabilities poses an obvious risk of likely harm to the child or children, including an assessment of the child’s developmental stage, capability and level of maturity. D) Option D: General Category This option may be used when a child has been placed at a real, significant and imminent risk of likely harm when the child is not receiving proper care or support, including supervision due to a parent's or caregiver's blatant disregard of his or her duty of care. Illinois Department of Children and Family Services Procedures 300.Appendix B",358,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_139_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 Allegation of Harm #75 ABANDONMENT/DESERTION a) Definition 1) Abandonment Abandonment is conduct by a parental/legal guardian that demonstrates the purpose of relinquishing all parental/legal rights and claims to the child. Abandonment is also defined as any parental or caregiver conduct which evinces a settled purpose to forego all parental/legal claims to a child. 2) Desertion Desertion is any conduct on the part of a parent or legal guardian which indicates that they have no intention, now or in the future, to maintain any degree of interest, concern or responsibility for the child. Desertion includes leaving a child with no apparent intention to return, unless the child has been left in the care of a relative. Note: This excludes any child relinquished in accordance with the Abandoned Newborn Infant Protection Act 325, ILCS 2/1 et seq. 3) Examples of abandonment/desertion include, but are not limited to, parents/legal guardians who: A) Leave a baby on the doorstep; B) Leave a baby in the garbage can; C) Leave a child with no apparent intention to return; or D) Leave a child with an appropriate caregiver but fail to resume care of the child, as agreed, and the caregiver cannot or will not continue to care for the child. b) Taking a Report A child has been abandoned and/or deserted due to the blatant disregard of caregiver responsibilities by a parent, caregiver, or other person responsible for the child’s welfare. (NEGLECT). Illinois Department of Children and Family Services Procedures 300.Appendix B",350,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_140_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 c) Investigating a Report 1) Required Contacts A) All contacts and attempted contacts must be documented in a contact note within 48 hours. B) There are no additional contacts specific to this allegation. 2) Required Activities All investigative activities must be documented in a contact or case note within 48 hours. A) The Child Protection Specialist in consultation with the Child Protection Supervisor shall determine if the child needs a medical examination. The Child Protection Specialist should request that the treating physician or nurse complete a diagram supplied by the hospital or use the CANTS 2A/B. B) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 3) Documentation Required A) There is documented evidence that the child has been abandoned or deserted. B) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 4) Assessment of Factors and Evidence to Determine a Finding There are no additional factors specific to this allegation. Illinois Department of Children and Family Services Procedures 300.Appendix B",284,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_141_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 Allegation of Harm #76 INADEQUATE FOOD a) Definition 1) Inadequate food means that there is a lack of food to adequately sustain normal functioning. It is not as severe as malnutrition or failure to thrive, both of which require a medical diagnosis. 2) Examples of inadequate food include, but are not limited to: A) The child who frequently and repeatedly misses meals or who is frequently and repeatedly fed insufficient amounts of food; B) The child who frequently and repeatedly asks neighbors for food and other information substantiates that the child is not being fed; and C) The child who is frequently and repeatedly fed unwholesome foods when his age, developmental stage, and physical condition are considered. b) Taking a Report 1) A child has not received/is not receiving adequate food due to the blatant disregard of caregiver responsibilities by a parent, caregiver or other person responsible for the child’s welfare. (NEGLECT) 2) Factors to be considered include: A) Child Factors i) What is the child’s age and developmental stage? ii) What is the child’s physical condition as it relates to the need for a special diet? iii) What are the child’s mental abilities, particularly as it relates to his or her ability to obtain and prepare his own food? B) Incident Factors i) What is the frequency of the occurrence? ii) What is the duration of the occurrence? Illinois Department of Children and Family Services Procedures 300.Appendix B",324,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_142_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 iii) What is the chronicity or pattern of occurrence? iv) What is the availability of adequate food? c) Investigating a Report 1) Required Contacts: A) All contacts and attempted contacts must be documented in a contact note within 48 hours. B) There are no additional contacts specific to this allegation. 2) Required Activities: A) All investigative activities must be documented in a contact or case note within 48 hours. B) There are no additional contacts specific to this allegation. 3) Documentation Required A) There is evidence that documents that a child is receiving insufficient or inadequate food. B) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 4) Assessment of Factors and Evidence to Determine a Finding Factors to consider include: A) What age is the involved child or children? B) Does the child have a medical condition; behavioral, mental or emotional problem; or disability or handicap that impacts a child’s diet or ability to feed themselves? C) What is the frequency, severity and duration of the neglect? Illinois Department of Children and Family Services Procedures 300.Appendix B",280,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_143_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 Allegation of Harm #77 INADEQUATE SHELTER a) Definition Inadequate Shelter 1) Inadequate shelter means there is a lack of shelter that is safe and able to protect a child from the elements. 2) Examples of inadequate shelter include, but are not limited to: A) No housing or shelter; B) Condemned housing; C) Exposed, frayed wiring; D) Housing with structural defects which endanger the health or safety of the child; E) Housing with indoor temperatures consistently below 50 degrees F; F) Housing with broken windows in sub-zero weather; G) Housing that is an obvious fire hazard; and H) Housing with an unsafe heat source that poses a fire hazard or threat of asphyxiation. b) Taking a Report The reporter/source has reason to believe that a child is being inadequately sheltered due to the blatant disregard of caregiver responsibilities by a parent, caregiver or other person responsible for the child’s welfare. (NEGLECT) c) Investigating a Report 1) Required Contacts: A) All contacts and attempted contacts must be documented in a contact note within 48 hours. B) There are no additional contacts specific to this allegation. 2) Required Activities: A) All investigative activities must be documented in a contact or case note within 48 hours. B) There are no additional activities specific to this allegation. Illinois Department of Children and Family Services Procedures 300.Appendix B",322,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_144_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 3) Required Documentation A) Documented observations that demonstrate that a child’s living conditions are inadequate to the point the child’s health and safety may be impaired due to the blatant disregard of the parent/caregiver. Documentation must cite specific inadequacy of the shelter. B) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 4) Assessment of Factors and Evidence to Determine a Finding Factors to be considered include: A) What is the child’s age and developmental stage? B) What is the child’s physical condition, particularly when the inadequate shelter may aggravate it? C) What are the child’s mental abilities, particularly as it relates to the child’s ability to comprehend the dangers posed by the inadequate shelter? D) What is the seriousness of the problem? E) What is the frequency of the problem? F) What is the duration of the problem? G) What is the pattern or chronicity of the problem? Illinois Department of Children and Family Services Procedures 300.Appendix B",259,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_145_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 Allegation of Harm #78 INADEQUATE CLOTHING a) Definition A lack of appropriate clothing to protect the child from the elements or the wearing of inadequate clothing results in injury to the child. b) Taking a Report 1) A child is/has been inadequately clothed due to the blatant disregard of caregiver responsibilities by a parent, caregiver or other person responsible for the child’s welfare. (NEGLECT) 2) Factors to be considered include: A) What is the frequency of the incident? B) What is the duration of the incident? C) What is the chronicity or pattern of occurrence? D) What are the weather conditions such as extreme heat or extreme cold? c) Investigating a Report 1) Required Contacts: A) All contacts and attempted contacts must be documented in a contact note within 48 hours. B) There are no additional contacts specific to this allegation. 2) Required Activities: A) All investigative activities must be documented in a contact or case note within 48 hours. B) There are no additional activities specific to this allegation. Illinois Department of Children and Family Services Procedures 300.Appendix B",259,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_146_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 3) Required Documentation A) Documented evidence (observations and/or photographs) that demonstrates that the child’s clothing is inadequate to the point that the child’s health and safety may be impaired. B) There has been a thorough and specific identification and documentation of clothing issues which pose harm or significant risk of harm to the child as well as documentation of the parent’s blatant disregard and failure to take precautionary measures. C) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 4) Assessment of Factors and Evidence to Determine a Finding Factors to consider include: A) The child’s age and developmental stage, particularly as it relates to the ability to make judgments regarding appropriate clothing. B) The child’s physical condition, particularly as it relates to conditions that may be aggravated by exposure to the elements. C) The child’s mental abilities, particularly as it relates to his or her ability to obtain appropriate clothing. D) What is the frequency of the incident? E) What is the duration of the incident? F) What is the chronicity or pattern of occurrence? G) What are the weather conditions such as extreme heat or extreme cold? Illinois Department of Children and Family Services Procedures 300.Appendix B",298,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_147_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 Allegation of Harm #79 MEDICAL NEGLECT a) Definition Medical or Dental Treatment 1) Treatment is the administration of a remedy to address a health condition. Medical neglect is the lack of medical or dental treatment for a health problem or condition that, if untreated or not treated as prescribed, could become severe enough to constitute serious or long-term harm to the child; lack of follow-through on a reasonable prescribed medical or dental treatment plan for a condition that could become serious enough to constitute serious or long-term harm to the child if the treatment or treatment plan goes unimplemented. 2) Management is the practice of providing care of a medical condition. Examples of management medical neglect include, but are not limited to: A) Lack of medical or dental management for a health problem or condition that, if unmanaged or not managed as prescribed, could become severe enough to constitute serious or long-term harm to the child. B) Lack of proper or necessary health care recognized under State law as necessary for the child's well-being. C) Lack of proper and necessary preventive health care such as HIV and newborn screening tests that place children at serious risk of illness due to lack of early detection and treatment. 3) Health care professionals providing or managing treatment include physicians, physician assistants, nurse practitioners, nurses, dentists, physical therapists, infant development specialists and nutritionists. b) Taking a Report 1) A child has not/is not receiving proper and necessary medical or dental care as defined above due to the blatant disregard of caregiver responsibilities by a parent, caregiver or other person responsible for the child’s welfare. (NEGLECT) 2) Factors to be considered include: A) The child’s age particularly as it relates to the ability to obtain and implement treatment. Illinois Department of Children and Family Services Procedures 300.Appendix B",389,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_148_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 B) What is the seriousness of the child’s current health concern or condition? C) What is the child’s physical condition? D) What is the child’s developmental level/capacity? E) If the child’s current health problem is not treated, what is the seriousness of the outcome? F) What are the generally accepted health benefits of the prescribed treatment? G) What are the generally recognized side effects/harms associated with the prescribed treatment? 3) If a physician notifies SCR that temporary protective custody has been taken because the parent/caregiver’s religious beliefs do not permit them to consent to necessary medical care, such information must be transmitted by the physician to the local State’s Attorney’s Office. No investigation will be taken unless there is additional information supporting other allegations of abuse or neglect. c) Investigating a Report 1) Required Contacts: All contacts and attempted contacts must be documented in a contact note within 48 hours. There are no additional contacts specific to this allegation. 2) Required Activities: All investigative activities must be documented in a contact or case note within 48 hours. A) A medical examination of the child is required for this allegation and shall not be waived if the child is an infant, is non-verbal, or is developmentally delayed. i) In a hospital setting, the Child Protection Specialist should request that the treating physician or nurse complete a diagram supplied by the hospital or use the CANTS 2A/B. Illinois Department of Children and Family Services Procedures 300.Appendix B",332,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_149_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 iii) The Child Protection Specialist should request that the treating physical or nurse complete the CANTS 65-B as well. B) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 3) Required Documentation A) After the definition of medical neglect is read to the medical professional making the diagnosis, documented medical diagnosis that the child was medically neglected and all relevant medical records, including prescription refill history if the neglect is a result of failure to provide necessary prescription medications. B) To make a finding of neglect (Allegation #79), a medical opinion has been obtained and it is determined the child was medically neglected as a result of blatant disregard by an eligible perpetrator. C) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 4) Assessment of Factors and Evidence to Determine a Finding A) Factors to consider include: i) What is the child’s health condition? ii) What is the seriousness of the child’s current health condition? iii) What is the probable medical and seriousness of the outcome if the current health condition is not treated? iv) What are the generally accepted health benefits of the prescribed treatment/management? v) What are the generally recognized side effects/harms associated with the prescribed treatment/management? Illinois Department of Children and Family Services Procedures 300.Appendix B",345,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_150_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 vi) What is the judgment of the treating physician regarding whether treatment/management is medically indicated and whether there is credible evidence of medical neglect? vii) Was the parent informed of the above and what is the parent’s ability to understand and/or carry out the treatment/management plan? B) A medical or dental provider states, or there is evidence to support, that the child’s medical treatment/management plan is not being followed by the parent/caregiver and/or: i) A medical provider or other professional collateral states concerns about the behavior of the parent/caregiver associated with his or her willingness to follow or continue to follow the child’s medical treatment/management plan, and that the situation has or will result in medical consequences for the child: and/or ii) There are conflicting medical opinions concerning the appropriate care for the child; and/or iii) There is disagreement concerning the rights of the parent/caregiver to choose specific medical treatment/management plans. Illinois Department of Children and Family Services Procedures 300.Appendix B",232,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_151_table_1,"Page Text: JB Pritzker Marc D. Smith Governor Director DATE: June 6, 2022 TO: Child Welfare Specialists at the State Central Registry and Child Protection Specialists FROM: Tierney Stutz, Chief Deputy Director, Division of Child Protection and State Central Registry RE: Reports to the Department involving refusal to provide Vitamin K shot and/or erythromycin eye ointment to Infants This memo provides clarification for Child Welfare Specialists working at the Child Abuse/Neglect Hotline regarding how to assess information from a reporter who states that a parent/caregiver has refused to allow their newborn to be administered a dose of Vitamin K and/or erythromycin eye ointment. This memo also provides clarification for Child Protection Specialists receiving assignment of an investigation involving a parent/caregiver who has refused to allow their newborn to be administered a dose of Vitamin K and/or erythromycin eye ointment. The UPSTF recommends the provision of an antibiotic eye ointment to prevent gonococcal eye infections. Refusal by a parent(s) to allow administration of Vitamin K and/or erythromycin eye ointment to their newborn infant, in and of itself, does not meet criteria to be accepted as a report of Allegation of Harm #79, Medical Neglect.  Table-1: [['The Department relies on the guidance given by the American Academy of Pediatrics (AAP), the Centers for'], ['Disease Control (CDC), other established organizations, such as the U.S. Preventive Services Task Force (UPSTF)'], ['and the DCFS Medical Director in assessing the medical safety and well-being of the children brought to our'], ['attention.']]",346,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_151_table_2,"Page Text: JB Pritzker Marc D. Smith Governor Director DATE: June 6, 2022 TO: Child Welfare Specialists at the State Central Registry and Child Protection Specialists FROM: Tierney Stutz, Chief Deputy Director, Division of Child Protection and State Central Registry RE: Reports to the Department involving refusal to provide Vitamin K shot and/or erythromycin eye ointment to Infants This memo provides clarification for Child Welfare Specialists working at the Child Abuse/Neglect Hotline regarding how to assess information from a reporter who states that a parent/caregiver has refused to allow their newborn to be administered a dose of Vitamin K and/or erythromycin eye ointment. This memo also provides clarification for Child Protection Specialists receiving assignment of an investigation involving a parent/caregiver who has refused to allow their newborn to be administered a dose of Vitamin K and/or erythromycin eye ointment. The UPSTF recommends the provision of an antibiotic eye ointment to prevent gonococcal eye infections. Refusal by a parent(s) to allow administration of Vitamin K and/or erythromycin eye ointment to their newborn infant, in and of itself, does not meet criteria to be accepted as a report of Allegation of Harm #79, Medical Neglect.  Table-2: [['Consistent with AAP and CDC guidance, DCFS accepts that all newborns are deficient in Vitamin K which'], ['places them at risk of Vitamin K deficiency bleeding. Administration of Vitamin K at birth is the best way to'], ['ensure newborns do not develop Vitamin K deficiency bleeding. Both organizations further recommend that'], ['health care providers provide reliable information to parents so that parents can make the most informed'], ['choices about their child’s medical care and protect them from potentially devastating health consequences.'], ['The recommended information shared with parents includes the benefits of Vitamin K and the risk of Vitamin'], ['K deficiency bleeding in newborns that do not receive adequate Vitamin K prophylaxis at birth.']]",411,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_152_text,"Unless it is marked as an Emergency Response, if a Child Protection Specialist receives assignment of an investigation that involves a refusal by a parent(s) to allow administration of Vitamin K and/or erythromycin",40,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_153_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 Allegation of Harm #81 FAILURE TO THRIVE (NON-ORGANIC) a) Definition 1) Failure to thrive is a serious medical condition most often seen in children less than one year of age, but can occur in children up to 3 years of age. The child’s weight, height, weight for length, and motor development fall significantly short of the average growth rates of normal children (E.g., below the fifth percentile). Failure to thrive is the failure to achieve expected growth. More precisely, the medical problem is that the child is malnourished. The severity of the malnutrition must be assessed by the medical provider using appropriate growth charts. 2) In a small percentage of failure to thrive cases there is an organic cause such as a serious kidney, heart, or intestinal disease, a genetic error of metabolism or brain damage. Commonly, in non-organic failure to thrive there is a disturbed parent/child relationship that manifests itself as physical and emotional neglect of the child. Diseases or medical conditions (organic) that cause growth failure and psychosocial reasons (non-organic) that cause growth failure are often found concurrently so there needs to be consideration of multifactorial conditions. b) Taking a Report 1) A child has failure to thrive syndrome as a result of the blatant disregard of caregiver responsibilities by a parent, caregiver or other person responsible for the child’s welfare. (NEGLECT) 2) Factors to be considered include: A) The child’s weight is below the fifth percentile of the normal range for a child of that age; or the child’s weight has dropped more than two major percentiles; but substantial weight gain occurs when the child is properly nourished and nurtured, such as when hospitalized; B) The child exhibits improved motor development when there is adequate feeding and appropriate stimulation; and C) Medical examination provides no evidence that disease or medical abnormality is the sole cause for the symptoms. 3) It must be taken into consideration that, when assessing potential Failure to Thrive reports and conducting investigation of a child suspected of suffering from Failure to Thrive, that Failure to Thrive is a multifactorial condition and the existence of an organic cause does not preclude an accompanying non-organic cause. Illinois Department of Children and Family Services Procedures 300.Appendix B",492,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_154_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 c) Investigating a Report 1) Required Contacts: A) All contacts and attempted contacts must be documented in a contact note within 48 hours. B) Consultation with the DCFS Nurse is required for this allegation. C) Waiver of any contact must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 2) Required Activities: All investigative activities must be documented in a contact or case note within 48 hours. A) A medical examination of the child is required for this allegation and shall not be waived if the child is an infant, is non-verbal, or is developmentally delayed. In a hospital setting, the Child Protection Specialist should request that the treating physician or nurse complete a diagram supplied by the hospital or use the CANTS 2A/B. B) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 3) Documentation Required A) Documented medical diagnosis that the child is failure to thrive (nonorganic) and all relevant medical records. Note: Verification must be obtained whether the child was premature at birth and whether prematurity was considered in the diagnosis. B) Verify the child’s weight is below the fifth percentile of the normal range but substantial weight gain occurs when the child is properly nourished and nurtured. C) Document whether the child exhibits improved motor development when there is adequate feeding and appropriate stimulation. Illinois Department of Children and Family Services Procedures 300.Appendix B",364,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
